Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a8e4efa2-6ba3-5c58-0de7-08ded500f18b,2016-09-26,,999-84-7994,,,,Florene115,,Larkin917,,,,white,nonhispanic,F,North Andover  Massachusetts  US,728 Harvey Center,Upton,Massachusetts,Worcester County,25027,01568,42.17449857984588,-71.62403438690565,14687.41,6435.81,744013
2b163ea2-0805-4547-7dd4-e7581df8f57f,2009-05-24,,999-64-3686,,,,Elizabeth24,Dorthea49,Mitchell808,,,,white,nonhispanic,F,Boston  Massachusetts  US,277 Keebler Camp Suite 75,Tewksbury,Massachusetts,Middlesex County,,00000,42.61768696158023,-71.25459673693707,55037.24,141914.86,170766
1bf4010f-bcff-26a1-a587-23c1ffbfab50,1991-11-27,,999-46-8189,S99963710,X43151165X,Mr.,Shayne60,Stephen891,Lebsack687,,,M,white,nonhispanic,M,Northfield  Massachusetts  US,689 Kessler Trace Apt 34,Cambridge,Massachusetts,Middlesex County,25017,02139,42.401213443789864,-71.04683578201153,63929.35,530.23,122663
36fea4ad-a0b1-deee-868f-c07329a6e625,1985-04-21,,999-14-8076,S99947668,X85882065X,Mrs.,Genevieve884,,Maggio310,,Jast432,M,white,nonhispanic,F,Woburn  Massachusetts  US,756 Jakubowski Ramp,New Bedford,Massachusetts,Bristol County,25005,02746,41.65173599293812,-70.94070546830288,11660.70,906971.78,6491
b42962c0-c3ee-4add-7012-2ceac54e2040,2012-12-17,,999-79-2806,,,,Danial835,Alvin56,Boyer713,,,,white,nonhispanic,M,Acton  Massachusetts  US,313 Schimmel Trafficway Apt 4,Ayer,Massachusetts,Middlesex County,25017,01432,42.57556561000168,-71.52560188828764,30202.96,0.00,126873
bc5fb829-f171-9ff1-9b93-32da8bce3ede,1976-04-26,,999-46-9754,S99916822,X79295315X,Mrs.,Cristine925,Jessi630,Howe413,,Romaguera67,D,white,nonhispanic,F,Barnstable  Massachusetts  US,332 Hilll Well,Boston,Massachusetts,Suffolk County,25025,02108,42.35886940992185,-71.07704085720314,643746.91,549467.35,43994
68f6d110-462b-ce7c-0a8c-5cc4b1de2aec,1969-02-12,,999-28-4593,S99994895,X26339893X,Mr.,Dane516,Arnoldo445,Trantow673,,,M,black,nonhispanic,M,Billerica  Massachusetts  US,1045 Eichmann Overpass Apt 25,Brockton,Massachusetts,Plymouth County,25023,02351,42.1211651729953,-71.02870204820441,180977.45,1061200.81,25411
52831a4a-c8b3-9dae-448a-e2a0b136793e,1997-02-11,,999-74-6490,S99932806,X8076191X,Mrs.,China583,Leida589,Conn188,,McKenzie376,M,asian,nonhispanic,F,Shanghai  Shanghai Municipality  CN,215 O'Connell Gate Unit 58,Maynard,Massachusetts,Middlesex County,25017,01754,42.41870325519412,-71.47810044528615,169089.31,0.00,110122
90282295-c56d-a741-2ec3-114da9541245,2016-03-15,,999-64-2205,,,,Alberto639,,Von197,,,,white,nonhispanic,M,Springfield  Massachusetts  US,218 Brown Key,Grafton,Massachusetts,Worcester County,,00000,42.217095179259154,-71.64253900143926,5584.70,22388.27,62593
f7badba0-4515-e01e-d486-1fcd89b997f2,1961-04-17,,999-14-1081,S99980296,X21201168X,Mrs.,Loree183,Melynda458,Ferry570,,Powlowski563,M,white,nonhispanic,F,Northampton  Massachusetts  US,549 Koss Street Unit 23,Cambridge,Massachusetts,Middlesex County,25017,02139,42.33096453756266,-71.10146655576855,243829.64,357431.60,580895
0d205ade-5d95-9c2c-b957-5bfa2335351d,2000-05-22,,999-11-9780,S99990759,X84999228X,Ms.,Dorris197,Kenyetta225,Frami345,,,,asian,nonhispanic,F,Macau  Macao Special Administrative Region of the People's Republic of China  CN,1058 Johnson Way Unit 16,Watertown,Massachusetts,Middlesex County,25017,02472,42.417594313415506,-71.14454175494653,4765.98,58490.35,4738
b9533745-ded6-8446-8bda-e4de27b1e1e0,1984-03-20,,999-84-6625,S99992420,X69445686X,Mr.,Winford225,Jewel43,Strosin214,,,S,white,nonhispanic,M,Mansfield  Massachusetts  US,469 Bradtke Way,Milford,Massachusetts,Worcester County,25027,01757,42.18125458569307,-71.47687012407796,68872.06,9562.21,28775
2e3b4a14-e9dd-ec41-b878-71f8b563bc37,1981-12-20,,999-14-7342,S99941128,X67835609X,Mr.,Myron933,Roberto515,Hirthe744,,,M,black,nonhispanic,M,Seekonk  Massachusetts  US,1020 Kassulke Gardens Unit 31,Middleborough,Massachusetts,Plymouth County,,00000,41.90415438897789,-70.84515206776794,7696.62,122829.04,3118
8abf6ffc-25f6-181c-bd16-3f2da7a57199,1954-09-15,2013-10-12,999-51-7155,S99998527,X89438087X,Ms.,Bobby524,,Harris789,,,S,white,nonhispanic,F,Taunton  Massachusetts  US,690 Prohaska Mews Unit 41,Harwich Center,Massachusetts,Barnstable County,,00000,41.73591401525225,-70.02902141826718,1284887.12,527040.21,100541
bbae32f3-a742-b7c1-5b2e-71835cb55fd9,1977-11-12,,999-39-1958,S99980184,X75673027X,Mr.,Jeramy610,Carmen818,Anderson154,,,S,asian,nonhispanic,M,Worcester  Massachusetts  US,213 McCullough Alley,Haverhill,Massachusetts,Essex County,25009,01835,42.82589854283806,-71.11853124971066,126426.36,48368.42,113076
e7a1a4df-c177-8fed-42d2-d0aaf8d18c5f,2019-04-16,,999-33-2597,,,,Crissy767,,Huels583,,,,other,hispanic,F,Somerville  Massachusetts  US,1031 Schaefer Camp Suite 84,Palmer,Massachusetts,Hampden County,25013,01095,42.23196016919806,-72.37122857727778,17611.76,0.00,105439
aa9e2d7a-838a-de54-04fc-c37d650f13e3,1975-04-16,2009-11-17,999-53-3657,S99926402,X57053306X,Mrs.,Lili474,,Bosco882,,Block661,M,white,nonhispanic,F,Tewksbury  Massachusetts  US,860 Schinner Highlands Suite 70,Mansfield,Massachusetts,Bristol County,,00000,42.049786547810044,-71.24306219271531,171740.25,185391.24,134667
7925ed43-5ff6-2547-acc6-5e8214bb943a,2023-06-02,,999-92-3651,,,,Jimmie93,Arron144,Kreiger457,,,,white,nonhispanic,M,Leicester  Massachusetts  US,970 Kling Wynd,Lawrence,Massachusetts,Essex County,25009,01840,42.70546815336506,-71.14093266098772,6438.69,2939.48,72788
b4e89d27-66b2-d0c2-4807-d2771ef4eb54,1976-10-29,,999-99-4348,S99945466,X64131122X,Mr.,Damien170,Quintin944,Ratke343,,,M,white,nonhispanic,M,West Bridgewater  Massachusetts  US,307 Feil Run Unit 5,Worcester,Massachusetts,Worcester County,25027,01602,42.295447978222505,-71.84745839724731,120375.29,4203.36,48840
5c070359-548d-77dd-650e-b31bb8b14732,1962-03-06,,999-63-4056,S99963562,X12466304X,Mr.,Bradley693,Gonzalo160,Gorczany269,,,S,white,nonhispanic,M,Lynnfield  Massachusetts  US,794 Aufderhar Viaduct,Marlborough,Massachusetts,Middlesex County,25017,01752,42.372643932238645,-71.53332787401828,462395.09,305515.01,57705
389b073a-0261-e26a-614b-f6ac59e38073,1977-04-02,,999-64-6822,S99987468,X29253026X,Mrs.,Sachiko982,Yon80,Hahn503,,Reilly981,M,white,nonhispanic,F,Milton  Massachusetts  US,1084 Schaefer Extension,Everett,Massachusetts,Middlesex County,25017,02149,42.42699068331164,-71.054475337742,657496.63,363920.07,116002
6087956b-9234-6125-5cdb-67040e932687,2011-01-26,,999-47-9447,,,,Ileen763,Lilla884,Windler79,,,,white,nonhispanic,F,Framingham  Massachusetts  US,270 Williamson Skyway Unit 59,Acushnet,Massachusetts,Bristol County,,00000,41.738266438480565,-70.90685705023273,36369.48,3606.80,50568
8fd07f98-58fa-a1e1-2be7-c8d80085265b,2006-12-01,,999-34-7792,S99989472,,Ms.,Vera718,Golden321,Gorczany269,,,,white,hispanic,F,Billerica  Massachusetts  US,1081 Leuschke Harbor Unit 83,Southwick,Massachusetts,Hampden County,,00000,42.04306412268491,-72.73851080898626,79052.29,662415.15,62402
fe4b7398-62cd-0369-e3ea-4b9fcd16f00f,2024-09-28,,999-32-4964,,,,Jessica140,Kristan816,Dare640,,,,black,nonhispanic,F,Georgetown  Massachusetts  US,900 Smith Neck,Boston,Massachusetts,Suffolk County,25025,02126,42.35285739222445,-71.08463849597631,2026.53,0.00,93430
cd957bf4-e8b8-63e9-e12d-9e49e0824f62,1982-02-27,,999-47-7906,S99935204,X12912488X,Mrs.,Joelle163,Micki733,Thiel172,,Haag279,D,white,nonhispanic,F,Boston  Massachusetts  US,787 Kemmer Village Apt 40,Braintree,Massachusetts,Norfolk County,25021,02184,42.18377363723026,-71.02060668674346,246050.17,329663.83,134172
19138d8f-d12e-7372-e050-888dfd4a55ef,1954-09-15,,999-17-1230,S99970684,X37590392X,Mrs.,Shirly501,Ashlie138,Waelchi213,,VonRueden376,D,white,nonhispanic,F,Newton  Massachusetts  US,317 Gusikowski Byway Apt 40,Harwich Center,Massachusetts,Barnstable County,,00000,41.69911938088927,-70.07371715456668,554828.45,89292.58,100541
e04c687d-16c5-446c-7a0f-86ec69cc340c,1949-10-05,,999-58-4955,S99985940,X77987374X,Mr.,Mitchell808,Dante562,Botsford977,,,S,white,nonhispanic,M,Easthampton  Massachusetts  US,1041 Collier Trail,Haverhill,Massachusetts,Essex County,25009,01830,42.754641144814066,-71.0879288883161,286916.93,139698.30,56770
46048de4-ea1a-70dd-9a52-f6d1b3efd73c,2000-08-22,,999-51-7881,S99938172,X51412516X,Ms.,Cheri871,Alaine226,Ritchie586,,,,white,nonhispanic,F,Marshfield  Massachusetts  US,255 Murphy Corner Suite 99,Billerica,Massachusetts,Middlesex County,,00000,42.60405636314094,-71.21814701711753,57400.58,290521.17,114046
6d885efc-f6d0-c916-d0c4-9fc1ae99d48d,2002-10-31,,999-10-4938,S99924903,X60194579X,Mr.,Melvin857,Julian715,Mills423,,,,white,nonhispanic,M,Newton  Massachusetts  US,157 Donnelly Mews Unit 39,Cambridge,Massachusetts,Middlesex County,25017,02138,42.438928554586475,-71.11138934154884,84640.97,0.00,90372
1ccbdbf1-901d-365d-c74f-e06a43595471,1965-12-24,,999-72-1584,S99915749,X7510253X,Mr.,Luciano237,Refugio197,Dicki44,,,D,black,nonhispanic,M,Melrose  Massachusetts  US,772 Wolff Estate,Ludlow,Massachusetts,Hampden County,,00000,42.189618421104925,-72.41087841266318,124558.26,122788.75,57074
80f766c1-26d9-d010-161b-d7ae3615c96b,2013-11-24,,999-60-9884,,,,Yolando662,Cathleen724,Carter549,,,,black,nonhispanic,F,Lexington  Massachusetts  US,776 Rohan Mews,Acton,Massachusetts,Middlesex County,,00000,42.49273377823703,-71.40304541715045,23466.29,18.87,53173
5f19da7d-b391-a495-0d3a-564c20953945,1952-10-02,1955-04-13,999-24-6504,,,,Boyce638,Bryce11,Mohr916,,,,white,nonhispanic,M,Fall River  Massachusetts  US,348 Rath Track,Somerville,Massachusetts,Middlesex County,25017,02144,42.34620496667344,-71.08300949661526,907.21,19079.51,10662
5a427495-cba5-62a2-5645-281386652454,2008-09-11,,999-15-7053,S99954806,,,Burt293,Bud153,King743,,,,black,nonhispanic,M,Somerville  Massachusetts  US,719 Ruecker Fort,Northampton,Massachusetts,Hampshire County,25015,01053,42.292591524068634,-72.71904432599327,40283.26,3001.84,114533
5863bc15-d589-a6e2-00f2-d98c53916134,1986-09-15,,999-77-6319,S99988073,X1744618X,Mrs.,Willene254,,Kemmer137,,Kuhlman484,M,white,nonhispanic,F,Yarmouth Port  Massachusetts  US,480 Bosco Flat,North Attleborough,Massachusetts,Bristol County,,00000,41.971312108051,-71.2932840889141,217777.97,280160.35,97302
6f28c670-004c-6808-c9a7-c479097177ca,2018-09-02,,999-30-7649,,,,Chere867,Rochell365,Stark857,,,,white,nonhispanic,F,Westfield  Massachusetts  US,453 Franecki Vista,Cohasset,Massachusetts,Norfolk County,,00000,42.2130034343457,-70.82195457839967,25317.27,3693.34,826569
509ac892-76ea-9298-6bf8-5bf885bb844b,1952-08-31,,999-62-5835,S99975439,X35919439X,Mrs.,Berneice173,,McLaughlin530,,Gusikowski974,M,white,nonhispanic,F,Brookline  Massachusetts  US,654 Turcotte Passage,Gloucester,Massachusetts,Essex County,25009,01930,42.65176105908283,-70.7026301914045,374128.71,1177086.33,154318
68d8b923-fcd6-3253-93ef-dc615b19cc7e,1984-03-15,,999-43-6419,S99989125,X62689239X,Ms.,Francie486,Michael441,Glover433,,,S,white,nonhispanic,F,Chelmsford  Massachusetts  US,978 Leffler Dam,Boston,Massachusetts,Suffolk County,25025,02126,42.395305488630974,-71.11968353557194,645817.67,1246370.72,49107
bd2e214c-139a-a2ca-ac81-4beac36969df,1970-02-24,,999-17-3469,S99968986,X53403906X,Ms.,Enriqueta274,,O'Keefe54,,,S,white,nonhispanic,F,Williamstown  Massachusetts  US,328 Fadel Center,Millis,Massachusetts,Norfolk County,,00000,42.131991891871955,-71.40685832369512,252563.05,116780.63,106273
f865c7b4-7620-9091-0b60-0d628e509470,2019-05-23,,999-41-3453,,,,Elvia127,Karly825,Kuhic920,,,,white,nonhispanic,F,East Bridgewater  Massachusetts  US,165 Cummerata Path,Fall River,Massachusetts,Bristol County,25005,02790,41.74609292720663,-71.1130504547369,651.40,12040.12,18127
47425fe8-d908-8303-2182-6260b14b84bd,1995-07-10,,999-81-1373,S99994651,X57367528X,Mr.,Chance908,Olen518,Vandervort697,,,M,white,nonhispanic,M,Mansfield  Massachusetts  US,895 Roberts Junction,Bourne,Massachusetts,Barnstable County,25001,02532,41.76894937878079,-70.63885739019467,102424.64,36301.09,46903
32aa79d4-e439-8157-09bc-db6432fb17c0,1952-10-02,,999-37-9815,S99993642,X11533738X,Mr.,Ben667,Tristan353,Little434,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,629 Stamm Brook Unit 43,Somerville,Massachusetts,Middlesex County,25017,02138,42.333369232117334,-71.16296988530436,15459.04,402182.47,10662
811f4b8a-072e-cb18-fcf0-2d6949fe697f,1960-08-20,,999-42-8786,S99978238,X56333785X,Mr.,Carol737,Lincoln623,Trantow673,,,M,white,nonhispanic,M,Groton  Massachusetts  US,385 Wehner Wynd Suite 5,Sandwich,Massachusetts,Barnstable County,25001,02563,41.68297679589204,-70.5095164643741,141915.36,48236.72,33463
ad6fe6d9-5a5b-9d9b-15ff-f6fc74c32575,1942-02-17,,999-77-5509,S99966228,X2477044X,Mr.,Barney639,Gregory545,Wiza601,,,W,white,nonhispanic,M,Ocean Bluff-Brant Rock  Massachusetts  US,562 Rath Tunnel Unit 88,New Bedford,Massachusetts,Bristol County,25005,02747,41.664425003459904,-70.98593770456475,192864.39,494341.33,26455
554abde9-ff80-c838-0ca9-bf5f2e451661,1984-04-22,,999-97-5135,S99920699,X19944059X,Mr.,Arnoldo445,Kristopher775,Tillman293,,,S,white,nonhispanic,M,Revere  Massachusetts  US,924 Rolfson Light Unit 24,South Yarmouth,Massachusetts,Barnstable County,25001,02664,41.66471918579862,-70.22210942010608,172023.80,8069.50,41912
0a5d7d6a-e753-3c7a-8a62-961e19bc023c,2002-05-26,,999-61-8365,S99916546,X45186228X,Mr.,Luther918,Theron432,Connelly992,,,,asian,nonhispanic,M,Stow  Massachusetts  US,473 Morar Vale,Framingham,Massachusetts,Middlesex County,25017,01702,42.28480428401661,-71.39394306679964,44513.13,21970.31,46700
692c6f30-335e-95ec-6527-b59e149dbe4d,1968-11-10,,999-53-6041,S99982743,X83905501X,Ms.,Janice500,,Batz141,,,S,white,nonhispanic,F,Plymouth  Massachusetts  US,451 Lesch Way,Longmeadow,Massachusetts,Hampden County,25013,01106,42.02482471271579,-72.54800901135602,513041.42,265114.40,50537
